"","year","locality","n_offers","average_price_nominal_euros","average_price_m2_nominal_euros"
"1","2010","Bascharage",192,593698.31,3603.57
"2","2010","Beaufort",266,461160.29,2902.76
"3","2010","Bech",65,621760.22,3280.51
"4","2010","Beckerich",176,444498.68,2867.88
"5","2010","Berdorf",111,504040.85,3055.99
"6","2010","Bertrange",264,795338.87,4266.46
"7","2010","Bettembourg",304,555628.29,3343.22
"8","2010","Bettendorf",94,495074.38,3235.26
"9","2010","Betzdorf",119,625914.47,3343.05
"10","2010","Bissen",70,516465.57,3321.65
"11","2010","Biwer",122,576659.02,3033.23
"12","2010","Boevange-sur-Attert",113,541159.17,3031.3
"13","2010","Boulaide",125,473043.65,2943.82
"14","2010","Bourscheid",72,528971.81,2816
"15","2010","Bous",57,523272.09,3164.58
"16","2010","Burmerange",126,538516.06,3254.97
"17","2010","Clémency",88,584038.64,3321.14
"18","2010","Clervaux",87,479297.9,2736.26
"19","2010","Colmar-Berg",64,514425.31,3269.3
"20","2010","Consdorf",55,535906.15,3419.92
"21","2010","Consthum",29,NA,NA
"22","2010","Contern",147,744879.05,4053.23
"23","2010","Dalheim",181,585315.07,3269.23
"24","2010","Diekirch",136,486927.35,2899.34
"25","2010","Differdange",672,441969.35,2816.26
"26","2010","Dippach",224,695294.47,3796
"27","2010","Dudelange",556,540933.45,3095.67
"28","2010","Echternach",140,585544.72,3531.5
"29","2010","Ell",63,509571.7,3090.8
"30","2010","Ermsdorf",56,501004.3,3261.34
"31","2010","Erpeldange",56,705361.07,3455.27
"32","2010","Esch-sur-Alzette",750,493472.43,2953.48
"33","2010","Esch-sur-Sûre",7,NA,NA
"34","2010","Eschweiler",89,463350.45,2621.53
"35","2010","Ettelbruck",177,493092.49,3002.54
"36","2010","Feulen",200,544236.96,3087.17
"37","2010","Fischbach",103,524858.36,3377.71
"38","2010","Flaxweiler",106,613794.84,3173.61
"39","2010","Frisange",165,720322.8,3555.59
"40","2010","Garnich",130,654931.82,3690.83
"41","2010","Goesdorf",137,436833.45,2618.22
"42","2010","Grevenmacher",124,564622.03,3074
"43","2010","Grosbous",56,511044.64,2970.34
"44","2010","Heffingen",71,512817.17,2890.24
"45","2010","Heiderscheid",29,NA,NA
"46","2010","Heinerscheid",84,436756.27,2646.91
"47","2010","Hesperange",311,688678.41,3776.49
"48","2010","Hobscheid",305,510125.48,3051.88
"49","2010","Hoscheid",26,NA,NA
"50","2010","Hosingen",129,431977.29,2589.35
"51","2010","Junglinster",351,637234.95,3469.25
"52","2010","Kayl",212,470633.53,2948.56
"53","2010","Kehlen",339,722238.71,3653.84
"54","2010","Kiischpelt",79,431157.04,2758.9
"55","2010","Koerich",124,624003.17,3112.92
"56","2010","Kopstal",159,764166.67,3814.02
"57","2010","Lac de la Haute-Sûre",80,510604.93,2828.74
"58","2010","Larochette",78,456218.15,2555.08
"59","2010","Lenningen",107,561987.79,3068.77
"60","2010","Leudelange",134,661047.51,3728.1
"61","2010","Lintgen",136,599191.35,3464.7
"62","2010","Lorentzweiler",109,630770.2,3629.33
"63","2010","Luxembourg",1186,687345.73,3936.46
